number,name,abiliy_1,abiliy_2,classification,height,weight,capture_rate,base_egg_steps,exp_growth,exp_growth_type,base_happiness,colour,safari_zone_flee_rate,against_water,against_normal,against_fire,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,egg_group_2,egg_group_1,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed,egg_group_3
131,Lapras,water absorb,shell armor,Transport Pokémon,2.49,219.99,45,10240,"1,250,000 ",Slow,70,Blue,60,0.5,1,1,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,Monster,Water 1,130,85,80,85,95,60,
069,Bellsprout,chlorophyll,,Flower Pokémon,0.71,3.99,255,5120,"1,059,860 ",Medium Slow,70,Green,90,0.5,1,2,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,,Plant,50,75,35,70,30,40,
119,Seaking,swift swim,water veil,Goldfish Pokémon,1.3,39.01,60,5120,"1,000,000 ",Medium Fast,70,Red,60,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,,Water 2,80,92,65,65,80,68,
231,Phanpy,pickup,,Long Nose Pokémon,0.51,33.57,120,5120,"1,000,000 ",Medium Fast,70,Blue,0,2,1,1,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,,Ground,90,60,60,40,40,40,
484,Palkia,pressure,,Spatial Pokémon,4.19,336.02,30,30720,"1,250,000 ",Slow,0,Purple,0,0.25,1,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,,,90,120,100,150,120,100,
219,Magcargo,magma armor,flame body,Lava Pokémon,0.79,54.88,75,5120,"1,000,000 ",Medium Fast,70,Red,0,4,0.5,0.25,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,,Indeterminate,50,50,120,80,80,30,
374,Beldum,clear body,,Iron Ball Pokémon,0.61,95.21,3,10240,"1,250,000 ",Slow,35,Blue,90,1,0.5,2,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,1,0.5,1,0.5,,Mineral,40,55,80,35,60,30,
312,Minun,minus,,Cheering Pokémon,0.41,4.22,200,5120,"1,000,000 ",Medium Fast,70,Yellow,0,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,,Fairy,60,40,50,75,85,95,
394,Prinplup,torrent,,Penguin Pokémon,0.79,23.04,45,5120,"1,059,860 ",Medium Slow,70,Blue,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Ground,Water 1,64,66,68,81,76,50,
490,Manaphy,hydration,,Seafaring Pokémon,0.3,1.41,3,2560,"1,250,000 ",Slow,70,Blue,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Fairy,Water 1,100,100,100,100,100,100,
303,Mawile,hyper cutter,intimidate,Deceiver Pokémon,0.61,11.52,45,5120,"800,000 ",Fast,70,Black,0,1,0.5,2,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,Ground,Fairy,50,85,85,55,55,50,
065,Alakazam,synchronize,inner focus,Psi Pokémon,1.5,48.08,50,5120,"1,059,860 ",Medium Slow,70,Brown,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,HumanShape,55,50,45,135,85,120,
121,Starmie,illuminate,natural cure,Mysterious Pokémon,1.09,79.83,60,5120,"1,250,000 ",Slow,70,Purple,0,0.5,1,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,Star Piece - 5%,Water 3,60,75,85,100,85,115,
162,Furret,run away,keen eye,Long Body Pokémon,1.8,32.48,90,3840,"1,000,000 ",Medium Fast,70,Brown,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Sitrus Berry - 5%,Ground,85,76,64,45,55,90,
017,Pidgeotto,keen eye,tangled feet,Bird Pokémon,1.09,29.98,120,3840,"1,059,860 ",Medium Slow,70,Brown,0,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,,Flying,63,60,55,50,50,71,
287,Slakoth,truant,,Slacker Pokémon,0.79,24.0,255,3840,"1,250,000 ",Slow,70,Brown,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Ground,60,60,60,35,35,30,
292,Shedinja,wonder guard,,Shed Pokémon,0.79,1.18,45,3840,"600,000 ",Erratic,70,Brown,0,1,0,2,1,0.5,1,0,0.5,0.5,2,1,0.5,2,2,1,2,1,,Mineral,1,90,45,30,30,40,
488,Cresselia,levitate,,Lunar Pokémon,1.5,85.59,3,30720,"1,250,000 ",Slow,100,Yellow,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,,120,70,120,75,130,85,
456,Finneon,swift swim,storm drain,Wing Fish Pokémon,0.41,6.99,190,5120,"600,000 ",Erratic,70,Blue,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,,Water 2,49,49,56,49,61,66,
284,Masquerain,intimidate,,Eyeball Pokémon,0.79,3.58,75,3840,"1,000,000 ",Medium Fast,70,Blue,90,1,1,2,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,Bug,Water 1,70,60,62,80,82,60,
270,Lotad,swift swim,rain dish,Water Weed Pokémon,0.51,2.59,255,3840,"1,059,860 ",Medium Slow,70,Green,90,0.25,1,1,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,Plant,Water 1,40,30,30,40,50,30,
443,Gible,sand veil,,Land Shark Pokémon,0.71,20.5,45,10240,"1,250,000 ",Slow,70,Blue,90,1,1,0.5,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,Monster,Dragon,58,70,45,40,45,42,
130,Gyarados,intimidate,,Atrocious Pokémon,6.5,234.96,45,1280,"1,250,000 ",Slow,70,Blue,60,0.5,1,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,Dragon,Water 2,95,125,79,60,100,81,
379,Registeel,clear body,,Iron Pokémon,1.91,204.98,3,20480,"1,250,000 ",Slow,35,Gray,0,1,0.5,2,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,80,75,150,75,150,50,
404,Luxio,rivalry,intimidate,Spark Pokémon,0.89,30.48,120,5120,"1,059,860 ",Medium Slow,100,Blue,90,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,,Ground,60,85,49,60,49,60,
103,Exeggutor,chlorophyll,,Coconut Pokémon,2.01,120.02,45,5120,"1,250,000 ",Slow,70,Yellow,0,0.5,1,2,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,,Plant,95,95,85,125,65,55,
489,Phione,hydration,,Sea Drifter Pokémon,0.41,3.08,30,10240,"1,250,000 ",Slow,70,Blue,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Fairy,Water 1,80,80,80,80,80,80,
133,Eevee,increases the same type attack bonus from *1.5 to *2.,,Evolution Pokémon,0.3,6.49,45,8960,"1,000,000 ",Medium Fast,70,Brown,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Ground,55,55,50,45,65,55,
190,Aipom,run away,pickup,Long Tail Pokémon,0.79,11.52,45,5120,"800,000 ",Fast,70,Purple,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Ground,55,70,55,40,55,85,
018,Pidgeot,keen eye,tangled feet,Bird Pokémon,1.5,39.51,45,3840,"1,059,860 ",Medium Slow,70,Brown,0,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,,Flying,83,80,75,70,70,91,
283,Surskit,swift swim,,Pond Skater Pokémon,0.51,1.68,200,3840,"1,000,000 ",Medium Fast,70,Blue,120,0.5,1,1,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,Bug,Water 1,40,30,32,50,52,65,
466,Electivire,motor drive,,Thunderbolt Pokémon,1.8,138.62,30,6400,"1,000,000 ",Medium Fast,70,Yellow,0,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,HG/SS,HumanShape,75,123,67,95,85,95,Electirizer - 5%
297,Hariyama,thick fat,guts,Arm Thrust Pokémon,2.31,253.78,200,5120,"1,640,000 ",Fluctuating,70,Brown,0,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,,HumanShape,144,120,60,40,60,50,
249,Lugia,pressure,,Diving Pokémon,5.44,216.0,3,30720,"1,250,000 ",Slow,0,White,0,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,,,106,90,130,90,154,110,
372,Shelgon,rock head,,Endurance Pokémon,1.09,110.5,45,10240,"1,250,000 ",Slow,35,White,120,0.5,1,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,,Dragon,65,95,100,60,50,50,
322,Numel,oblivious,simple,Numb Pokémon,0.71,24.0,255,5120,"1,000,000 ",Medium Fast,70,Yellow,0,4,1,0.5,0,1,1,1,0.5,2,1,1,0.5,1,1,1,1,0.5,,Ground,60,60,40,65,45,35,
204,Pineco,sturdy,,Bagworm Pokémon,0.61,7.21,190,5120,"1,000,000 ",Medium Fast,70,Gray,0,1,1,2,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,,Bug,50,65,90,35,35,15,
353,Shuppet,insomnia,frisk,Puppet Pokémon,0.61,2.31,225,6400,"800,000 ",Fast,35,Black,150,1,0,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,,Indeterminate,44,75,35,63,33,45,
320,Wailmer,water veil,oblivious,Ball Whale Pokémon,2.01,130.0,125,10240,"1,640,000 ",Fluctuating,70,Blue,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Ground,Water 2,130,70,35,70,35,60,
363,Spheal,thick fat,ice body,Clap Pokémon,0.79,39.51,255,5120,"1,059,860 ",Medium Slow,70,Blue,90,0.5,1,1,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,Ground,Water 1,70,40,50,55,50,25,
375,Metang,clear body,,Iron Claw Pokémon,1.19,202.48,3,10240,"1,250,000 ",Slow,35,Blue,60,1,0.5,2,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,1,0.5,1,0.5,,Mineral,60,75,100,55,80,50,
388,Grotle,overgrow,,Grove Pokémon,1.09,97.07,45,5120,"1,059,860 ",Medium Slow,70,Green,0,0.5,1,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Monster,Plant,75,89,85,55,65,36,
177,Natu,synchronize,early bird,Little Bird Pokémon,0.2,1.81,190,5120,"1,000,000 ",Medium Fast,70,Green,0,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,,Flying,40,50,45,70,45,70,
414,Mothim,swarm,,Moth Pokémon,0.89,23.31,45,3840,"1,000,000 ",Medium Fast,70,Yellow,0,1,1,2,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,,Bug,70,94,50,94,50,66,
078,Rapidash,run away,flash fire,Fire Horse Pokémon,1.7,94.8,60,5120,"1,000,000 ",Medium Fast,70,Yellow,0,2,1,0.5,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Ground,65,100,70,80,80,105,
108,Lickitung,own tempo,oblivious,Licking Pokémon,1.19,65.5,45,5120,"1,000,000 ",Medium Fast,70,Pink,60,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Monster,90,55,75,60,75,30,
453,Croagunk,anticipation,dry skin,Toxic Mouth Pokémon,0.71,23.0,140,2560,"1,000,000 ",Medium Fast,100,Blue,150,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,,HumanShape,48,61,40,61,40,50,
444,Gabite,sand veil,,Cave Pokémon,1.4,56.02,45,10240,"1,250,000 ",Slow,70,Blue,0,1,1,0.5,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,Monster,Dragon,68,90,65,50,55,82,
251,Celebi,natural cure,,Time Travel Pokémon,0.61,4.99,45,30720,"1,059,860 ",Medium Slow,100,Green,0,0.5,1,2,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,,,100,100,100,100,100,100,
365,Walrein,thick fat,ice body,Ice Break Pokémon,1.4,150.59,45,5120,"1,059,860 ",Medium Slow,70,Blue,0,0.5,1,1,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,Ground,Water 1,110,80,90,95,90,65,
125,Electabuzz,static,,Electric Pokémon,1.09,29.98,45,6400,"1,000,000 ",Medium Fast,70,Yellow,120,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,HG/SS,HumanShape,65,83,57,95,85,105,No Hold Item
294,Loudred,soundproof,,Big Voice Pokémon,0.99,40.51,120,5120,"1,059,860 ",Medium Slow,70,Blue,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Ground,Monster,84,71,43,71,43,48,
142,Aerodactyl,rock head,pressure,Fossil Pokémon,1.8,59.01,45,8960,"1,250,000 ",Slow,70,Purple,0,2,0.5,0.5,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,,Flying,80,105,65,60,75,130,
104,Cubone,rock head,lightningrod,Lonely Pokémon,0.41,6.49,190,5120,"1,000,000 ",Medium Fast,70,Brown,90,2,1,1,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,,Monster,50,50,95,40,50,35,
358,Chimecho,levitate,,Wind Chime Pokémon,0.61,1.0,45,6400,"800,000 ",Fast,70,Blue,90,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,Indeterminate,65,50,70,95,80,65,
395,Empoleon,torrent,,Emperor Pokémon,1.7,84.5,45,5120,"1,059,860 ",Medium Slow,70,Blue,0,0.5,0.5,1,2,1,0.25,2,0,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,Ground,Water 1,84,86,88,111,101,60,
111,Rhyhorn,lightningrod,rock head,Spikes Pokémon,0.99,115.21,120,5120,"1,250,000 ",Slow,70,Gray,90,4,0.5,0.5,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,Ground,Monster,80,85,95,30,30,25,
308,Medicham,pure power,,Meditate Pokémon,1.3,31.48,90,5120,"1,000,000 ",Medium Fast,70,Red,60,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,,HumanShape,60,60,75,60,75,80,
256,Combusken,blaze,,Young Fowl Pokémon,0.89,19.5,45,5120,"1,059,860 ",Medium Slow,70,Red,0,2,1,0.5,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,,Ground,60,85,60,85,60,55,
344,Claydol,levitate,,Clay Doll Pokémon,1.5,108.0,90,5120,"1,000,000 ",Medium Fast,70,Black,0,2,1,1,0,2,2,0.5,0.5,1,1,0.5,2,0.5,2,1,2,1,,Mineral,60,70,105,70,120,75,
043,Oddish,chlorophyll,,Weed Pokémon,0.51,5.44,255,5120,"1,059,860 ",Medium Slow,70,Blue,90,0.5,1,2,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,,Plant,45,50,55,75,65,30,
407,Roserade,natural cure,poison point,Bouquet Pokémon,0.89,14.51,75,5120,"1,059,860 ",Medium Slow,70,Green,0,0.5,1,2,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,Plant,Fairy,60,70,55,125,105,90,
328,Trapinch,hyper cutter,arena trap,Ant Pit Pokémon,0.71,15.01,255,5120,"1,059,860 ",Medium Slow,70,Brown,120,2,1,1,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,,Bug,45,100,45,45,45,10,
253,Grovyle,overgrow,,Wood Gecko Pokémon,0.89,21.59,45,5120,"1,059,860 ",Medium Slow,70,Green,0,0.5,1,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Monster,Dragon,50,65,45,85,65,95,
479,Rotom,levitate,,Plasma Pokémon,0.3,0.32,45,5120,"1,000,000 ",Medium Fast,70,Red,0,1,0,1,0.5,1,1,0,0.5,2,0.5,1,0.5,1,2,1,2,0.5,,Indeterminate,50,50,77,95,77,91,
479.1,Rotom_alternate,levitate,,Plasma Pokémon,0.3,0.32,45,5120,"1,000,000 ",Medium Fast,70,Red,0,1,0,1,0.5,1,1,0,0.5,2,0.5,1,0.5,1,2,1,2,0.5,,Indeterminate,50,65,107,105,107,86,
126,Magmar,flame body,,Spitfire Pokémon,1.3,44.5,45,6400,"1,000,000 ",Medium Fast,70,Red,90,2,1,0.5,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,HG/SS,HumanShape,65,95,57,100,85,93,No Hold Item
076,Golem,rock head,sturdy,Megaton Pokémon,1.4,300.28,45,3840,"1,059,860 ",Medium Slow,70,Brown,0,4,0.5,0.5,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,,Mineral,80,110,130,55,65,45,
480,Uxie,levitate,,Knowledge Pokémon,0.3,0.32,3,20480,"1,250,000 ",Slow,140,Yellow,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,,75,75,130,75,130,95,
274,Nuzleaf,chlorophyll,early bird,Wily Pokémon,0.99,27.99,120,3840,"1,059,860 ",Medium Slow,70,Brown,60,0.5,1,2,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,Ground,Plant,70,70,40,60,40,60,
138,Omanyte,swift swim,shell armor,Spiral Pokémon,0.41,7.48,45,7680,"1,000,000 ",Medium Fast,70,Blue,0,1,0.5,0.25,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,Water 3,Water 1,35,40,100,90,55,35,
151,Mew,synchronize,,New Specie Pokémon,0.41,3.99,45,30720,"1,059,860 ",Medium Slow,100,Pink,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,,100,100,100,100,100,100,
262,Mightyena,intimidate,quick feet,Bite Pokémon,0.99,37.01,127,3840,"1,000,000 ",Medium Fast,70,Gray,0,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,,Ground,70,90,70,60,60,70,
052,Meowth,pickup,technician,Scratch Cat Pokémon,0.41,4.22,255,5120,"1,000,000 ",Medium Fast,70,Yellow,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Ground,40,45,35,40,40,90,
185,Sudowoodo,sturdy,rock head,Imitation Pokémon,1.19,38.01,65,5120,"1,000,000 ",Medium Fast,70,Brown,0,2,0.5,0.5,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,,Mineral,70,100,115,30,65,30,
026,Raichu,static,,Mouse Pokémon,0.79,29.94,75,2560,"1,000,000 ",Medium Fast,70,Yellow,0,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Ground,Fairy,60,90,55,90,80,100,
070,Weepinbell,chlorophyll,,Flycatcher Pokémon,0.99,6.4,120,5120,"1,059,860 ",Medium Slow,70,Green,60,0.5,1,2,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,,Plant,65,90,50,85,45,55,
090,Shellder,shell armor,skill link,Bivalve Pokémon,0.3,3.99,190,5120,"1,250,000 ",Slow,70,Purple,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 3,Big Pearl - 5%,30,65,100,45,25,40,
174,Igglybuff,cute charm,,Balloon Pokémon,0.3,0.91,170,2560,"800,000 ",Fast,70,Pink,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,,90,30,15,40,20,15,
173,Cleffa,cute charm,magic guard,Star Shape Pokémon,0.3,2.99,150,2560,"800,000 ",Fast,140,Pink,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Moon Stone - 5%,50,25,28,45,55,15,
062,Poliwrath,water absorb,damp,Tadpole Pokémon,1.3,53.98,45,5120,"1,059,860 ",Medium Slow,70,Blue,0,0.5,1,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,,Water 1,90,85,95,70,90,70,
482,Azelf,levitate,,Willpower Pokémon,0.3,0.32,3,20480,"1,250,000 ",Slow,140,Blue,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,,75,125,70,125,70,115,
415,Combee,honey gather,,Tiny Bee Pokémon,0.3,5.49,120,3840,"1,059,860 ",Medium Slow,70,Yellow,0,1,1,2,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,,Bug,30,30,42,30,42,70,
013,Weedle,shield dust,,Hairy Bug Pokémon,0.3,3.22,255,3840,"1,000,000 ",Medium Fast,70,Brown,0,1,1,2,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,,Bug,40,35,30,20,20,50,
150,Mewtwo,pressure,,Genetic Pokémon,2.01,122.02,3,30720,"1,250,000 ",Slow,0,Purple,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,,106,110,90,154,90,130,
176,Togetic,hustle,serene grace,Happiness Pokémon,0.61,3.22,75,2560,"800,000 ",Fast,70,White,0,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Flying,Fairy,55,40,85,80,105,40,
