number,name,ability_1,ability_2,male_ratio,female_ratio,classification,height,weight,type_1,type_2,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,base_egg_steps,capture_rate,egg_group_2,egg_group_1,base_hp,base_ attack,base_defense,base_sp_attack,base_sp_defense,base_speed
087,Dewgong,Thick Fat,,50,50,Sea Lion Pokémon,1.7,120.2,water,ice,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,"5,120",75,Water 1,Ground,90,70,80,70,95,70
084,Doduo,Run Away,Early Bird,50,50,Twin Bird Pokémon,1.4,39.01,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"5,120",190,,Flying,35,85,45,35,35,75
033,Nidorino,Poison Point,,100,0,Poison Pin Pokémon,0.89,19.5,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",120,Monster,Ground,61,72,57,55,55,65
131,Lapras,Water Absorb,Shell Armor,50,50,Transport Pokémon,2.49,22.0,water,ice,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,"10,240",45,Monster,Water 1,130,85,80,85,95,60
372,Shelgon,Rock Head,,50,50,Endurance Pokémon,1.09,110.5,dragon,,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,"10,240",45,,Dragon,65,95,100,60,50,50
091,Cloyster,Shell Armor,,50,50,Bivalve Pokémon,1.5,132.49,water,ice,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,"5,120",60,,Water 3,50,95,180,85,45,70
048,Venonat,Compound Eyes,,50,50,Insect Pokémon,0.99,29.98,bug,poison,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,"5,120",190,,Bug,60,55,50,40,55,45
252,Treecko,Overgrow,,87.5,12.5,Wood Gecko Pokémon,0.51,4.99,grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,"5,120",45,Monster,Dragon,40,45,35,65,55,70
285,Shroomish,Effect Spore,,50,50,Mushroom Pokémon,0.41,4.49,grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,"3,840",255,Fairy,Plant,60,40,60,40,60,35
121,Starmie,Illuminate,Natural Cure,0,0,Mysterious Pokémon,1.09,79.83,water,psychic,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,"5,120",60,,Water 3,60,75,85,100,85,115
137,Porygon,Trace,,0,0,Virtual Pokémon,0.79,36.51,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",45,,Mineral,65,60,70,85,75,40
146,Moltres,Pressure,,0,0,Flame Pokémon,2.01,60.01,fire,flying,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,"20,480",3,,,90,100,90,125,85,90
114,Tangela,Chlorophyll,,50,50,Vine Pokémon,0.99,3.27,grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,"5,120",45,,Plant,65,55,115,100,40,60
208,Steelix,Rock Head,Sturdy,50,50,Iron Snake Pokémon,9.19,399.98,steel,ground,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,"6,400",25,,Mineral,75,85,200,55,65,30
177,Natu,Synchronize,Early Bird,50,50,Little Bird Pokémon,0.2,1.81,psychic,flying,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,"5,120",190,,Flying,40,50,45,70,45,70
278,Wingull,Keen Eye,,50,50,Seagull Pokémon,0.61,9.48,water,flying,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,"5,120",190,Water 1,Flying,40,30,30,55,30,85
271,Lombre,Swift Swim,Rain Dish,50,50,Jolly Pokémon,1.19,32.48,water,grass,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,"3,840",120,Water 1,Plant,60,50,50,60,70,50
234,Stantler,Intimidate,,50,50,Big Horn Pokémon,1.4,71.21,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",45,,Ground,73,95,62,85,65,85
062,Poliwrath,Damp,Water Absorb,50,50,Tadpole Pokémon,1.3,53.98,water,fighting,1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,"5,120",45,,Water 1,90,85,95,70,90,70
099,Kingler,Hyper Cutter,Shell Armor,50,50,Pincer Pokémon,1.3,60.01,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",60,,Water 3,55,130,115,50,50,75
074,Geodude,Rock Head,Sturdy,50,50,Rock Pokémon,0.41,19.96,rock,ground,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,"3,840",255,,Mineral,40,80,100,30,30,20
264,Linoone,PickUp,,50,50,Rush Pokémon,0.51,32.48,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"3,840",90,,Ground,78,70,61,50,61,100
322,Numel,Oblivious,,50,50,Numb Pokémon,0.71,24.0,fire,ground,1,0.5,4,0,1,1,1,0.5,2,1,1,0.5,1,1,1,1,0.5,"5,120",255,,Ground,60,60,40,65,45,35
311,Plusle,Plus,,50,50,Cheering Pokémon,0.41,4.22,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"5,120",200,,Fairy,60,50,40,85,75,95
353,Shuppet,Insomnia,,50,50,Puppet Pokémon,0.61,2.31,ghost,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,"6,400",225,,Indeterminate,44,75,35,63,33,45
225,Delibird,Hustle,Vital Spirit,50,50,Delivery Pokémon,0.89,16.01,ice,flying,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,"5,120",45,Water 1,Ground,45,55,45,65,45,75
107,Hitmonchan,Keen Eye,,100,0,Punching Pokémon,1.4,50.21,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,"6,400",45,,HumanShape,50,105,79,35,110,76
205,Forretress,Sturdy,,50,50,Bagworm Pokémon,1.19,125.78,bug,steel,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,"5,120",75,,Bug,75,90,140,60,60,40
231,Phanpy,PickUp,,50,50,Long Nose Pokémon,0.51,33.57,ground,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,"5,120",120,,Ground,90,60,60,40,40,40
302,Sableye,Keen Eye,,50,50,Darkness Pokémon,0.51,11.02,dark,ghost,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,"6,400",45,,HumanShape,50,75,75,65,65,50
375,Metang,Clear Body,,0,0,Iron Claw Pokémon,1.19,202.48,steel,psychic,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,1,0.5,1,0.5,"10,240",3,,Mineral,60,75,100,55,80,50
355,Duskull,Levitate,,50,50,Requiem Pokémon,0.79,15.01,ghost,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,"6,400",190,,Indeterminate,20,40,90,30,90,25
228,Houndour,Early Bird,Flash Fire,50,50,Dark Pokémon,0.61,10.8,dark,fire,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,"5,120",120,,Ground,45,60,30,80,50,65
332,Cacturne,Sand Veil,,50,50,Scarecrow Pokémon,1.3,77.38,grass,dark,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,"5,120",60,Plant,HumanShape,70,115,60,115,60,55
306,Aggron,Rock Head,Sturdy,50,50,Iron Armor Pokémon,2.11,360.02,steel,rock,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1,"8,960",45,,Monster,70,110,180,60,60,50
113,Chansey,Natural Cure,Serene Grace,0,100,Egg Pokémon,1.09,34.61,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"10,240",30,,Fairy,250,5,5,35,105,50
270,Lotad,Swift Swim,Rain Dish,50,50,Water Weed Pokémon,0.51,2.59,water,grass,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,"3,840",255,Water 1,Plant,40,30,30,40,50,30
163,Hoothoot,Insomnia,Keen Eye,50,50,Owl Pokémon,0.71,21.18,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"3,840",255,,Flying,60,30,30,36,56,50
039,Jigglypuff,Cute Charm,,25,75,Balloon Pokémon,0.51,5.44,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"2,560",170,,Fairy,115,45,20,45,25,20
339,Barboach,Oblivious,,50,50,Whiskers Pokémon,0.41,1.91,water,ground,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,"5,120",190,,Water 2,50,48,43,46,41,60
098,Krabby,Hyper Cutter,Shell Armor,50,50,River Crab Pokémon,0.41,6.49,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",225,,Water 3,30,105,90,25,25,50
202,Wobbuffet,Shadow Tag,,50,50,Patient Pokémon,1.3,28.58,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"5,120",45,,Indeterminate,190,33,58,33,58,33
362,Glalie,Inner Focus,,50,50,Face Pokémon,1.5,256.51,ice,,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,"5,120",75,Fairy,Mineral,80,80,80,80,80,80
014,Kakuna,Shed Skin,,50,50,Cocoon Pokémon,0.61,9.98,bug,poison,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,"3,840",120,,Bug,45,25,50,25,25,35
165,Ledyba,Swarm,Early Bird,50,50,Five Star Pokémon,0.99,10.8,bug,flying,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,"3,840",255,,Bug,40,20,30,40,80,55
032,Nidoran (M),Poison Point,,100,0,Poison Pin Pokémon,0.51,8.98,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",235,Monster,Ground,46,57,40,40,40,50
135,Jolteon,Volt Absorb,,87.5,12.5,Lightning Pokémon,0.79,24.49,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"8,960",45,,Ground,65,65,60,110,95,130
313,Volbeat,Illuminate,Swarm,100,0,Firefly Pokémon,0.71,17.69,bug,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,"3,840",150,Bug,HumanShape,65,73,55,47,75,85
327,Spinda,Own Tempo,,50,50,Spot Panda Pokémon,1.09,4.99,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"3,840",255,Ground,HumanShape,60,60,60,60,60,60
288,Vigoroth,Vital Spirit,,50,50,Wild Monkey Pokémon,1.4,46.49,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"3,840",120,,Ground,80,80,80,55,55,90
257,Blaziken,Blaze,,87.5,12.5,Blaze Pokémon,1.91,51.98,fire,fighting,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,"5,120",45,,Ground,80,120,70,110,70,80
317,Swalot,Liquid Ooze,Sticky Hold,50,50,Poison Bag Pokémon,1.7,80.01,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",75,,Indeterminate,100,73,83,73,83,55
312,Minun,Minus,,50,50,Cheering Pokémon,0.41,4.22,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"5,120",200,,Fairy,60,40,50,75,85,95
171,Lanturn,Volt Absorb,Illuminate,50,50,Light Pokémon,1.19,22.68,water,electric,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,"5,120",75,,Water 2,125,58,58,76,76,67
136,Flareon,Flash Fire,,87.5,12.5,Flame Pokémon,0.64,24.99,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"8,960",45,,Ground,65,130,60,95,110,65
185,Sudowoodo,Rock Head,Sturdy,50,50,Imitation Pokémon,1.19,38.01,rock,,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,"5,120",65,,Mineral,70,100,115,30,65,30
301,Delcatty,Cute Charm,,25,75,Prim Pokémon,1.09,32.61,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"3,840",60,Ground,Fairy,70,65,65,55,55,70
096,Drowzee,Insomnia,,50,50,Hypnosis Pokémon,0.99,32.39,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"5,120",190,,HumanShape,60,48,45,43,90,42
110,Weezing,Levitate,,50,50,Poison Gas Pokémon,1.19,9.53,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",60,,Indeterminate,65,90,120,85,70,60
156,Quilava,Blaze,,87.5,12.5,Volcano Pokémon,0.89,19.01,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",45,,Ground,58,64,58,80,65,80
260,Swampert,Torrent,,87.5,12.5,Mud Fish Pokémon,1.5,81.92,water,ground,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,"5,120",45,Monster,Water 1,100,110,90,85,90,60
211,Qwilfish,Swift Swim,Poison Point,50,50,Balloon Pokémon,0.51,3.9,water,poison,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,"5,120",45,,Water 2,65,95,75,55,55,85
236,Tyrogue,Guts,,100,0,Scuffle Pokémon,0.71,7.39,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,"6,400",75,,,35,35,35,35,35,35
042,Golbat,Inner Focus,,50,50,Bat Pokémon,1.6,54.88,poison,flying,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,"3,840",90,,Flying,75,80,70,65,75,90
380,Latias,Levitate,,0,100,Eon Pokémon,1.4,40.01,dragon,psychic,1,0.5,0.5,0.5,0.5,2,0.5,1,1,1,0.5,2,1,2,2,2,1,"30,720",3,,,80,80,90,110,130,110
038,Ninetales,Flash Fire,,25,75,Fox Pokémon,1.09,19.96,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",75,,Ground,73,76,75,81,100,100
025,Pikachu,Static,,50,50,Mouse Pokémon,0.41,5.9,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"2,560",190,Ground,Fairy,35,55,30,50,40,90
001,Bulbasaur,Overgrow,,87.5,12.5,Seed Pokémon,0.71,6.89,grass,poison,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,"5,120",45,Monster,Plant,45,49,49,65,65,45
277,Swellow,Guts,,50,50,Swallow Pokémon,0.71,19.82,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"3,840",45,,Flying,60,85,60,50,50,125
351,Castform,Forecast,,50,50,Weather Pokémon,0.41,0.82,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"6,400",45,Fairy,Indeterminate,70,70,70,70,70,70
013,Weedle,Shield Dust,,50,50,Hairy Pokémon,0.3,3.22,bug,poison,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,"3,840",255,,Bug,40,35,30,20,20,50
366,Clamperl,Shell Armor,,50,50,Bivalve Pokémon,0.41,52.48,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",255,,Water 1,35,64,85,74,55,32
368,Gorebyss,Swift Swim,,50,50,South Sea Pokémon,1.8,22.59,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",60,,Water 1,55,84,105,114,75,52
336,Seviper,Shed Skin,,50,50,Fang Snake Pokémon,2.69,52.48,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",90,Ground,Dragon,73,100,60,100,60,65
214,Heracross,Swarm,Guts,50,50,Mold Pokémon,1.5,54.43,bug,fighting,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,"6,400",45,,Bug,80,125,75,40,95,85
280,Ralts,Synchronize,Trace,50,50,Feeling Pokémon,0.41,6.62,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"5,120",235,,Indeterminate,28,25,25,45,35,40
209,Snubbull,Intimidate,Run Away,25,75,Fairy Pokémon,0.61,7.8,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",190,Ground,Fairy,60,80,50,40,40,30
200,Misdreavus,Levitate,,50,50,Screech Pokémon,0.71,1.0,ghost,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,"6,400",45,,Indeterminate,60,60,60,85,85,85
383,Groudon,Drought,,0,0,Continent Pokémon,3.51,950.0,ground,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,"30,720",5,,,100,150,140,100,90,90
273,Seedot,Chrlorophyll,Early Bird,50,50,Acorn Pokémon,0.51,3.99,grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,"3,840",255,Ground,Plant,40,40,50,30,30,30
239,Elekid,Static,,75,25,Electric Pokémon,0.61,23.5,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"6,400",45,,,45,63,37,65,55,95
106,Hitmonlee,Limber,,100,0,Kicking Pokémon,1.5,49.8,fighting,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,"6,400",45,,HumanShape,50,120,53,35,110,87
253,Grovyle,Overgrow,,87.5,12.5,Wood Gecko Pokémon,0.89,21.59,grass,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,"5,120",45,Monster,Dragon,50,65,45,85,65,95
009,Blastoise,Torrent,,87.5,12.5,Turtle Pokémon,1.6,85.5,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",45,Monster,Water 1,79,83,100,85,105,78
026,Raichu,Static,,50,50,Mouse Pokémon,0.79,29.94,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"2,560",75,Ground,Fairy,60,90,55,90,80,100
210,Granbull,Intimidate,,25,75,Fairy Pokémon,1.4,48.72,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",75,Ground,Fairy,90,120,75,60,60,45
357,Tropius,Chlorophyll,,50,50,Fruit Pokémon,2.01,100.02,grass,flying,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,"6,400",200,Monster,Plant,99,68,83,72,87,51
022,Fearow,Keen Eye,,50,50,Beak Pokémon,1.19,38.01,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"3,840",90,,Flying,65,90,65,61,61,100
198,Murkrow,Insomnia,,50,50,Darkness Pokémon,0.51,2.09,dark,flying,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,"5,120",30,,Flying,60,85,42,85,42,91
017,Pidgeotto,Keen Eye,,50,50,Bird Pokémon,1.09,29.98,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"3,840",120,,Flying,63,60,55,50,50,71
342,Crawdaunt,Hyper Cutter,Shell Armor,50,50,Rogue Pokémon,1.09,32.79,water,dark,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,"3,840",155,Water 1,Water 3,63,120,85,90,55,55
358,Chimecho,Levitate,,50,50,Wind Chime Pokémon,0.61,1.0,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"6,400",45,,Indeterminate,65,50,70,95,80,65
382,Kyogre,Drizzle,,0,0,Sea Basin Pokémon,4.5,351.99,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"30,720",5,,,100,100,90,150,140,90
266,Silcoon,Shed Skin,,50,50,Cocoon Pokémon,0.61,9.98,bug,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,"3,840",120,,Bug,50,35,55,25,25,15
245,Suicune,Pressure,,0,0,Aurora Pokémon,2.01,187.02,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"20,480",3,,,100,75,115,90,115,85
120,Staryu,Illuminate,Natural Cure,0,0,Starshape Pokémon,0.79,34.47,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",225,,Water 3,30,45,55,70,55,85
310,Manectric,Static,Lightning Rod,50,50,Discharge Pokémon,1.5,40.19,electric,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,"5,120",45,,Ground,70,75,60,105,60,105
292,Shedinja,Wonder Guard,,0,0,Shed Pokémon,0.79,1.18,bug,ghost,0,2,1,1,0.5,1,0,0.5,0.5,2,1,0.5,2,2,1,2,1,"3,840",45,,Mineral,1,90,45,30,30,40
363,Spheal,Thick Fat,,50,50,Clap Pokémon,0.79,39.51,ice,water,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,"5,120",255,Water 1,Ground,70,40,50,55,50,25
076,Golem,Rock Head,Sturdy,50,50,Megaton Pokémon,1.4,300.28,rock,ground,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,"3,840",45,,Mineral,80,110,130,55,65,45
256,Combusken,Blaze,,87.5,12.5,Young Fowl Pokémon,0.89,19.5,fire,fighting,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,"5,120",45,,Ground,60,85,60,85,60,55
347,Anorith,Battle Armor,,87.5,12.5,Old Shrimp Pokémon,0.71,12.52,rock,bug,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,"7,680",45,,Water 3,45,95,50,40,50,75
160,Feraligatr,Torrent,,87.5,12.5,Big Jaw Pokémon,2.31,88.81,water,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,"5,120",45,Monster,Water 1,85,105,100,79,83,78
318,Carvanha,Rough Skin,,50,50,Savage Pokémon,0.79,20.82,water,dark,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,"5,120",225,,Water 2,45,90,20,65,20,65
174,Igglybuff,Cute Charm,,25,75,Balloon Pokémon,0.3,0.91,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"2,560",170,,,90,30,15,40,20,15
