number,name,male_ratio,female_ratio,classification,height,weight,capture_rate,base_egg_steps,type_1,type_2,exp_growth,exp_growth_type,base_happiness,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,egg_group,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed
075,Graveler,50.0,50.0,Rock Pokémon,1,105,120,3840,rock,ground,1059860,Medium Slow,70,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,Mineral,55,95,115,45,45,35
245,Suicune,#240,"['Suicune', '#245', 0.0, 0.0]",Aurora Pokémon,2,187,3,20480,water,,1250000,Slow,35,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Suicune cannot breed,100,75,115,90,115,85
078,Rapidash,50.0,50.0,Fire Horse Pokémon,1.7,95,60,5120,fire,,1000000,Medium Fast,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Field,65,100,70,80,80,105
112,Rhydon,50.0,50.0,Drill Pokémon,1.9,120,60,5120,ground,rock,1250000,Slow,70,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,Field,105,130,120,45,45,40
200,Misdreavus,50.0,50.0,Screech Pokémon,0.7,1,45,6400,ghost,,800000,Fast,35,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,Amorphous,60,60,60,85,85,85
068,Machamp,75.0,25.0,Superpower Pokémon,1.6,130,45,5120,fighting,,1059860,Medium Slow,70,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,Human-like,90,130,80,65,85,55
226,Mantine,50.0,50.0,Kite Pokémon,2.1,220,25,6400,water,flying,1250000,Slow,70,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,Water 1,65,40,70,80,140,70
183,Marill,50.0,50.0,Aquamouse Pokémon,0.4,8.5,190,2560,water,,800000,Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Fairy,70,20,50,20,50,40
031,Nidoqueen,0.0,100.0,Drill Pokémon,1.3,60,45,5120,poison,ground,1059860,Medium Slow,70,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,Nidoqueen cannot breed,90,82,87,75,85,76
247,Pupitar,50.0,50.0,Hard Shell Pokémon,1.2,152,45,10240,rock,ground,1250000,Slow,35,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,Monster,70,84,70,65,70,51
193,Yanma,50.0,50.0,Clear Wing Pokémon,1.2,38,75,5120,bug,flying,1000000,Medium Fast,70,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,Bug,65,65,45,75,45,95
196,Espeon,87.5,12.5,Sun Pokémon,0.9,26.5,45,8960,psychic,,1000000,Medium Fast,70,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Field,65,65,60,130,95,110
212,Scizor,50.0,50.0,Pincer Pokémon,1.8,118,25,6400,bug,steel,1000000,Medium Fast,70,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,Bug,70,130,100,55,80,65
067,Machoke,75.0,25.0,Superpower Pokémon,1.5,70.5,90,5120,fighting,,1059860,Medium Slow,70,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,Human-like,80,100,70,50,60,45
250,Ho-Oh,#248,"['Ho-Oh', '#250', 0.0, 0.0]",Rainbow Pokémon,3.8,199,3,30720,fire,flying,1250000,Slow,0,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,Ho-Oh cannot breed,106,130,90,110,154,90
220,Swinub,50.0,50.0,Pig Pokémon,0.4,6.5,225,5120,ice,ground,1250000,Slow,70,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,Field,50,50,40,30,30,50
060,Poliwag,50.0,50.0,Tadpole Pokémon,0.6,12.4,255,5120,water,,1059860,Medium Slow,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,40,50,40,40,40,90
091,Cloyster,50.0,50.0,Bivalve Pokémon,1.5,132.5,60,5120,water,ice,1250000,Slow,70,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,Water 3,50,95,180,85,45,70
109,Koffing,50.0,50.0,Poison Gas Pokémon,0.6,1,190,5120,poison,,1000000,Medium Fast,70,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Amorphous,40,65,95,60,45,35
160,Feraligatr,87.5,12.5,Big Jaw Pokémon,2.3,88.8,45,5120,water,,1059860,Medium Slow,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,85,105,100,79,83,78
184,Azumarill,50.0,50.0,Aquarabbit Pokémon,0.8,28.5,75,2560,water,,800000,Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Fairy,100,50,80,50,80,50
221,Piloswine,50.0,50.0,Swine Pokémon,1.1,55.8,75,5120,ice,ground,1250000,Slow,70,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,Field,100,100,80,60,60,50
092,Gastly,50.0,50.0,Gas Pokémon,1.3,0.1,190,5120,ghost,poison,1059860,Medium Slow,70,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,Amorphous,30,35,30,100,35,80
107,Hitmonchan,100.0,0.0,Punching Pokémon,1.4,50.2,45,6400,fighting,,1000000,Medium Fast,70,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,Human-like,50,105,79,35,110,76
023,Ekans,50.0,50.0,Snake Pokémon,2,6.9,255,5120,poison,,1000000,Medium Fast,70,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Dragon,35,60,44,40,54,55
223,Remoraid,50.0,50.0,Jet Pokémon,0.6,12,190,5120,water,,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 2,35,65,35,65,35,65
156,Quilava,87.5,12.5,Volcano Pokémon,0.9,19,45,5120,fire,,1059860,Medium Slow,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Field,58,64,58,80,65,80
210,Granbull,25.0,75.0,Fairy Pokémon,1.4,48.7,75,5120,normal,,800000,Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Fairy,90,120,75,60,60,45
042,Golbat,50.0,50.0,Bat Pokémon,1.6,55,90,3840,poison,flying,1000000,Medium Fast,70,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,Flying,75,80,70,65,75,90
073,Tentacruel,50.0,50.0,Jellyfish Pokémon,1.6,55,60,5120,water,poison,1250000,Slow,70,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,Water 3,80,70,65,80,120,100
214,Heracross,50.0,50.0,Singlehorn Pokémon,1.5,54,45,6400,bug,fighting,1250000,Slow,70,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,Bug,80,125,75,40,95,85
034,Nidoking,100.0,0.0,Drill Pokémon,1.4,62,45,5120,poison,ground,1059860,Medium Slow,70,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,Field,81,92,77,85,75,85
087,Dewgong,50.0,50.0,Sea Lion Pokémon,1.7,120,75,5120,water,ice,1000000,Medium Fast,70,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,Field,90,70,80,70,95,70
228,Houndour,50.0,50.0,Dark Pokémon,0.6,10.8,120,5120,dark,fire,1250000,Slow,35,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,Field,45,60,30,80,50,65
017,Pidgeotto,50.0,50.0,Bird Pokémon,1.1,30,120,3840,normal,flying,1059860,Medium Slow,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Flying,63,60,55,50,50,71
086,Seel,50.0,50.0,Sea Lion Pokémon,1.1,90,190,5120,water,,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Field,65,45,55,45,70,45
197,Umbreon,87.5,12.5,Moonlight Pokémon,1,27,45,8960,dark,,1000000,Medium Fast,35,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,Field,95,65,110,60,130,65
159,Croconaw,87.5,12.5,Big Jaw Pokémon,1.1,25,45,5120,water,,1059860,Medium Slow,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,65,80,80,59,63,58
013,Weedle,50.0,50.0,Hairy Bug Pokémon,0.3,3.2,255,3840,bug,poison,1000000,Medium Fast,70,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,Bug,40,35,30,20,20,50
029,Nidoran♀,0.0,100.0,Poison Pin Pokémon,0.4,7,235,5120,poison,,1059860,Medium Slow,70,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Field,55,47,52,40,40,41
006,Charizard,87.5,12.5,Flame Pokémon,1.7,90.5,45,5120,fire,flying,1059860,Medium Slow,70,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,Dragon,78,84,78,109,85,100
162,Furret,50.0,50.0,Long Body Pokémon,1.8,32.5,90,3840,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,85,76,64,45,55,90
218,Slugma,50.0,50.0,Lava Pokémon,0.7,35,190,5120,fire,,1000000,Medium Fast,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Amorphous,40,40,40,70,40,20
235,Smeargle,50.0,50.0,Painter Pokémon,1.2,58,45,5120,normal,,800000,Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,55,20,35,20,45,75
149,Dragonite,50.0,50.0,Dragon Pokémon,2.2,210,45,10240,dragon,flying,1250000,Slow,35,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,Dragon,91,134,95,100,100,80
090,Shellder,50.0,50.0,Bivalve Pokémon,0.3,4,190,5120,water,,1250000,Slow,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 3,30,65,100,45,25,40
243,Raikou,#238,"['Raikou', '#243', 0.0, 0.0]",Thunder Pokémon,1.9,178,3,20480,electric,,1250000,Slow,35,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Raikou cannot breed,90,85,75,115,100,115
088,Grimer,50.0,50.0,Sludge Pokémon,0.9,30,190,5120,poison,,1000000,Medium Fast,70,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Amorphous,80,80,50,40,50,25
102,Exeggcute,50.0,50.0,Egg Pokémon,0.4,2.5,90,5120,grass,psychic,1250000,Slow,70,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,Grass,60,40,80,60,45,40
123,Scyther,50.0,50.0,Mantis Pokémon,1.5,56,45,6400,bug,flying,1000000,Medium Fast,70,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,Bug,70,110,80,55,80,105
179,Mareep,50.0,50.0,Wool Pokémon,0.6,7.8,235,5120,electric,,1059860,Medium Slow,70,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Field,55,40,40,65,45,35
180,Flaaffy,50.0,50.0,Wool Pokémon,0.8,13.3,120,5120,electric,,1059860,Medium Slow,70,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Field,70,55,55,80,60,45
004,Charmander,87.5,12.5,Lizard Pokémon,0.6,8.5,45,5120,fire,,1059860,Medium Slow,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Dragon,39,52,43,60,50,65
099,Kingler,50.0,50.0,Pincer Pokémon,1.3,60,60,5120,water,,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 3,55,130,115,50,50,75
192,Sunflora,50.0,50.0,Sun Pokémon,0.8,8.5,120,5120,grass,,1059860,Medium Slow,70,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Grass,75,75,55,105,85,30
056,Mankey,50.0,50.0,Pig Monkey Pokémon,0.5,28,190,5120,fighting,,1000000,Medium Fast,70,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,Field,40,80,35,35,45,70
055,Golduck,50.0,50.0,Duck Pokémon,1.7,76.6,75,5120,water,,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Field,80,82,78,95,80,85
234,Stantler,50.0,50.0,Big Horn Pokémon,1.4,71.2,45,5120,normal,,1250000,Slow,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,73,95,62,85,65,85
249,Lugia,#247,"['Lugia', '#249', 0.0, 0.0]",Diving Pokémon,5.2,216,3,30720,psychic,flying,1250000,Slow,0,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,Lugia cannot breed,106,90,130,90,154,110
080,Slowbro,50.0,50.0,Hermit Crab Pokémon,1.6,78.5,75,5120,water,psychic,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,Water 1,95,75,110,100,80,30
096,Drowzee,50.0,50.0,Hypnosis Pokémon,1,32.4,190,5120,psychic,,1000000,Medium Fast,70,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Human-like,60,48,45,43,90,42
185,Sudowoodo,50.0,50.0,Imitation Pokémon,1.2,38,65,5120,rock,,1000000,Medium Fast,70,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,Mineral,70,100,115,30,65,30
030,Nidorina,0.0,100.0,Poison Pin Pokémon,0.8,20,120,5120,poison,,1059860,Medium Slow,70,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Nidorina cannot breed,70,62,67,55,55,56
222,Corsola,25.0,75.0,Coral Pokémon,0.6,5,60,5120,water,rock,800000,Fast,70,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,Water 3,55,55,85,65,85,35
052,Meowth,50.0,50.0,Scratch Cat Pokémon,0.4,4.2,255,5120,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,40,45,35,40,40,90
124,Jynx,0.0,100.0,Humanshape Pokémon,1.4,40.6,45,6400,ice,psychic,1000000,Medium Fast,70,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,Human-like,65,50,35,115,95,95
007,Squirtle,87.5,12.5,Tiny Turtle Pokémon,0.5,9,45,5120,water,,1059860,Medium Slow,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,44,48,65,50,64,43
039,Jigglypuff,25.0,75.0,Balloon Pokémon,0.5,5.5,170,2560,normal,,800000,Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Fairy,115,45,20,45,25,20
224,Octillery,50.0,50.0,Jet Pokémon,0.9,28.5,75,5120,water,,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 2,75,105,75,105,75,45
190,Aipom,50.0,50.0,Long Tail Pokémon,0.8,11.5,45,5120,normal,,800000,Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,55,70,55,40,55,85
093,Haunter,50.0,50.0,Gas Pokémon,1.6,0.1,90,5120,ghost,poison,1059860,Medium Slow,70,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,Amorphous,45,50,45,115,55,95
097,Hypno,50.0,50.0,Hypnosis Pokémon,1.6,75.6,75,5120,psychic,,1000000,Medium Fast,70,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Human-like,85,73,70,73,115,67
202,Wobbuffet,50.0,50.0,Patient Pokémon,1.3,28.5,45,5120,psychic,,1000000,Medium Fast,70,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,Amorphous,190,33,58,33,58,33
024,Arbok,50.0,50.0,Cobra Pokémon,3.5,65,90,5120,poison,,1000000,Medium Fast,70,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Dragon,60,85,69,65,79,80
019,Rattata,50.0,50.0,Mouse Pokémon,0.3,3.5,255,3840,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,30,56,35,25,35,72
089,Muk,50.0,50.0,Sludge Pokémon,1.2,30,75,5120,poison,,1000000,Medium Fast,70,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Amorphous,105,105,75,65,100,50
148,Dragonair,50.0,50.0,Dragon Pokémon,4,16.5,45,10240,dragon,,1250000,Slow,35,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,Dragon,61,84,65,70,70,70
050,Diglett,50.0,50.0,Mole Pokémon,0.2,0.8,255,5120,ground,,1000000,Medium Fast,70,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,Field,10,55,25,35,45,95
072,Tentacool,50.0,50.0,Jellyfish Pokémon,0.9,45.5,190,5120,water,poison,1250000,Slow,70,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,Water 3,40,40,35,50,100,70
178,Xatu,50.0,50.0,Mystic Pokémon,1.5,15,75,5120,psychic,flying,1000000,Medium Fast,70,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,Flying,65,75,70,95,70,95
213,Shuckle,50.0,50.0,Mold Pokémon,0.6,20.5,190,5120,bug,rock,1059860,Medium Slow,70,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,Bug,20,10,230,10,230,5
135,Jolteon,87.5,12.5,Lightning Pokémon,0.8,24.5,45,8960,electric,,1000000,Medium Fast,70,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Field,65,65,60,110,95,130
035,Clefairy,25.0,75.0,Fairy Pokémon,0.6,7.5,150,2560,normal,,800000,Fast,140,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Fairy,70,45,48,60,65,35
130,Gyarados,50.0,50.0,Atrocious Pokémon,6.5,235,45,1280,water,flying,1250000,Slow,70,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,Dragon,95,125,79,60,100,81
172,Pichu,50.0,50.0,Tiny Mouse Pokémon,0.3,2,190,2560,electric,,1000000,Medium Fast,70,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Pichu cannot breed,20,40,15,35,35,60
163,Hoothoot,50.0,50.0,Owl Pokémon,0.7,21.2,255,3840,normal,flying,1000000,Medium Fast,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Flying,60,30,30,36,56,50
061,Poliwhirl,50.0,50.0,Tadpole Pokémon,1,20,120,5120,water,,1059860,Medium Slow,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,65,65,65,50,50,90
187,Hoppip,50.0,50.0,Cottonweed Pokémon,0.4,0.5,255,5120,grass,flying,1059860,Medium Slow,70,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,Grass,35,35,40,35,55,50
083,Farfetch'd,50.0,50.0,Wild Duck Pokémon,0.8,15,45,5120,normal,flying,1000000,Medium Fast,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Field,52,65,55,58,62,60
238,Smoochum,0.0,100.0,Kiss Pokémon,0.4,6,45,6400,ice,psychic,1000000,Medium Fast,70,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,Smoochum cannot breed,45,30,15,85,65,65
155,Cyndaquil,87.5,12.5,Fire Mouse Pokémon,0.5,7.9,45,5120,fire,,1059860,Medium Slow,70,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Field,39,52,43,60,50,65
194,Wooper,50.0,50.0,Water Fish Pokémon,0.4,8.5,255,5120,water,ground,1000000,Medium Fast,70,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,Field,55,45,45,25,25,15
010,Caterpie,50.0,50.0,Worm Pokémon,0.3,2.9,255,3840,bug,,1000000,Medium Fast,70,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,Bug,45,30,35,20,20,45
084,Doduo,50.0,50.0,Twin Bird Pokémon,1.4,39.2,190,5120,normal,flying,1000000,Medium Fast,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Flying,35,85,45,35,35,75
199,Slowking,50.0,50.0,Royal Pokémon,2,79.5,70,5120,water,psychic,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,Water 1,95,75,80,100,110,30
110,Weezing,50.0,50.0,Poison Gas Pokémon,1.2,9.5,60,5120,poison,,1000000,Medium Fast,70,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Amorphous,65,90,120,85,70,60
229,Houndoom,50.0,50.0,Dark Pokémon,1.4,35,45,5120,dark,fire,1250000,Slow,35,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,Field,75,90,50,110,80,95
009,Blastoise,87.5,12.5,Shellfish Pokémon,1.6,85.5,45,5120,water,,1059860,Medium Slow,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,79,83,100,85,105,78
125,Electabuzz,75.0,25.0,Electric Pokémon,1.1,30,45,6400,electric,,1000000,Medium Fast,70,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Human-like,65,83,57,95,85,105
208,Steelix,50.0,50.0,Iron Snake Pokémon,9.2,400,25,6400,steel,ground,1000000,Medium Fast,70,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,Mineral,75,85,200,55,65,30
016,Pidgey,50.0,50.0,Tiny Bird Pokémon,0.3,1.8,255,3840,normal,flying,1059860,Medium Slow,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Flying,40,45,40,35,35,56
129,Magikarp,50.0,50.0,Fish Pokémon,0.9,10,255,1280,water,,1250000,Slow,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Dragon,20,10,55,15,20,80
116,Horsea,50.0,50.0,Dragon Pokémon,0.4,8,225,5120,water,,1000000,Medium Fast,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Dragon,30,40,70,70,25,60
152,Chikorita,87.5,12.5,Leaf Pokémon,0.9,6.4,45,5120,grass,,1059860,Medium Slow,70,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Grass,45,49,65,49,65,45
231,Phanpy,50.0,50.0,Long Nose Pokémon,0.5,33.5,120,5120,ground,,1000000,Medium Fast,70,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,Field,90,60,60,40,40,40
120,Staryu,#167,"['Staryu', '#120', 0.0, 0.0]",Starshape Pokémon,0.8,34.5,225,5120,water,,1250000,Slow,70,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 3,30,45,55,70,55,85
100,Voltorb,#120,"['Voltorb', '#100', 0.0, 0.0]",Ball Pokémon,0.5,10.4,190,5120,electric,,1000000,Medium Fast,70,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,Mineral,40,30,50,55,55,100
