number,name,abiliy_1,abiliy_2,hidden_ability,classification,height,weight,capture_rate,base_egg_steps,exp_growth,exp_growth_type,base_happiness,flee_flag,entree_forest_level,type_1,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,egg_group_2,egg_group_1,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed,type_2,egg_group_3,abiliy_3,egg_group_4,abiliy_4,abiliy_5,abiliy_6,abiliy_7,abiliy_8
159,Croconaw,torrent,,sheer force,Big Jaw Pokémon,1.1,25.0,45,5120,"1,059,860 ",Medium Slow,70,125,18,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,Monster,65,80,80,59,63,58,,,,,,,,,
498,Tepig,blaze,,thick fat,Fire Pig Pokémon,0.5,9.9,45,5120,"1,059,860 ",Medium Slow,70,1 HP Point(s),47,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Field,65,63,45,45,45,45,,,,,,,,,
250,Ho-Oh,pressure,,regenerator,Rainbow Pokémon,3.8,199.0,3,30720,"1,250,000 ",Slow,0,144,45,fire,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,,,106,130,90,110,154,90,flying,,,,,,,,
602,Tynamo,levitate,,,EleFish Pokémon,0.2,0.3,190,5120,"1,250,000 ",Slow,70,1 Speed Point(s),0,electric,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,,Amorphous,35,55,40,45,40,60,,,,,,,,,
548,Petilil,chlorophyll,own tempo,leaf guard,Bulb Pokémon,0.5,6.6,190,5120,"1,000,000 ",Medium Fast,70,1 Sp. Attack Point(s),102,grass,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,,Grass,45,35,50,70,50,30,,,,,,,,,
387,Turtwig,overgrow,,shell armor,Tiny Leaf Pokémon,0.4,10.2,45,5120,"1,059,860 ",Medium Slow,70,75,10,grass,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Grass,Monster,55,68,64,45,55,31,,,,,,,,,
332,Cacturne,sand veil,,water absorb,Scarecrow Pokémon,1.3,77.4,60,5120,"1,059,860 ",Medium Slow,35,11,32,grass,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,Grass,Human-like,70,115,60,115,60,55,dark,,,,,,,,
002,Ivysaur,overgrow,,chlorophyll,Seed Pokémon,1.0,13.0,45,5120,"1,059,860 ",Medium Slow,70,34,16,grass,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,Grass,Monster,60,62,63,80,80,60,poison,,,,,,,,
557,Dwebble,sturdy,shell armor,weak armor,Rock Inn Pokémon,0.3,14.5,190,5120,"1,000,000 ",Medium Fast,70,1 Defense Point(s),133,bug,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,Rare Bone - 1%(Dark Grass),Mineral,50,65,85,35,35,55,rock,Bug,,,,,,,
426,Drifblim,aftermath,unburden,flare boost,Blimp Pokémon,1.2,15.0,60,7680,"1,640,000 ",Fluctuating,70,138,28,ghost,0,1,1,2,0.5,2,0,0.5,0,1,1,0.25,2,2,1,2,1,Amorphous,Air Balloon - 1%(Dark Grass),150,80,44,90,54,80,flying,No Hold Item,,,,,,,
647,Keldeo,justified,,,Colt Pokémon,1.4,48.5,3,20480,"1,250,000 ",Slow,35,3 Sp. Attack Point(s),0,water,1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,,,91,72,90,129,90,108,fighting,,,,,,,,
281,Kirlia,synchronize,trace,telepathy,Emotion Pokémon,0.8,20.2,120,5120,"1,250,000 ",Slow,35,140,20,psychic,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,Amorphous,38,35,35,65,55,50,,,,,,,,,
031,Nidoqueen,poison point,rivalry,sheer force,Drill Pokémon,1.3,60.0,45,5120,"1,059,860 ",Medium Slow,70,125,16,poison,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,,,90,82,87,75,85,76,ground,,,,,,,,
414,Mothim,swarm,,tinted lens,Moth Pokémon,0.9,23.3,45,3840,"1,000,000 ",Medium Fast,70,110,20,bug,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,,Bug,70,94,50,94,50,66,flying,,,,,,,,
385,Jirachi,serene grace,,,Wish Pokémon,0.3,1.1,3,30720,"1,250,000 ",Slow,100,0,10,steel,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,1,0.5,1,0.5,,,100,100,100,100,100,100,psychic,,,,,,,,
186,Politoed,water absorb,damp,drizzle,Frog Pokémon,1.1,33.9,45,5120,"1,059,860 ",Medium Slow,70,2,25,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,,Water 1,90,75,75,90,100,70,,,,,,,,,
529,Drilbur,sand rush,sand force,mold breaker,Mole Pokémon,0.3,8.5,120,5120,"1,000,000 ",Medium Fast,70,1 Attack Point(s),104,ground,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,,Field,60,85,40,30,45,68,,,,,,,,,
377,Regirock,clear body,,sturdy,Rock Peak Pokémon,1.7,230.0,3,20480,"1,250,000 ",Slow,35,5,30,rock,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,,,80,100,200,50,100,50,,,,,,,,,
442,Spiritomb,pressure,,infiltrator,Forbidden Pokémon,1.0,108.0,100,7680,"1,000,000 ",Medium Fast,70,151,10,ghost,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,,Amorphous,50,92,108,92,108,35,dark,,,,,,,,
530,Excadrill,sand rush,sand force,mold breaker,Subterrene Pokémon,0.7,40.4,60,5120,"1,000,000 ",Medium Fast,70,2 Attack Point(s),104,ground,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,,Field,110,135,60,50,65,88,steel,,,,,,,,
223,Remoraid,hustle,sniper,moody,Jet Pokémon,0.6,12.0,190,5120,"1,000,000 ",Medium Fast,70,141,10,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,Water 2,35,65,35,65,35,65,,,,,,,,,
333,Swablu,natural cure,,cloud nine,Cotton Bird Pokémon,0.4,1.2,255,5120,"600,000 ",Erratic,70,13,10,normal,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,Flying,Dragon,45,40,60,40,75,50,flying,,,,,,,,
156,Quilava,blaze,,flash fire,Volcano Pokémon,0.9,19.0,45,5120,"1,059,860 ",Medium Slow,70,18,14,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Field,58,64,58,80,65,80,,,,,,,,,
595,Joltik,compoundeyes,unnerve,swarm,Attaching Pokémon,0.1,0.6,190,5120,"1,000,000 ",Medium Fast,70,1 Speed Point(s),68,bug,1,2,1,0.5,0.5,1,0.5,1,1,1,1,1,2,1,1,1,0.5,,Bug,50,47,50,57,50,65,electric,,,,,,,,
429,Mismagius,levitate,,,Magical Pokémon,0.9,4.4,45,6400,"800,000 ",Fast,35,0,10,ghost,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,,Amorphous,60,60,60,105,105,105,,,,,,,,,
136,Flareon,flash fire,,guts,Flame Pokémon,0.9,25.0,45,8960,"1,000,000 ",Medium Fast,70,62,10,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Field,65,130,60,95,110,65,,,,,,,,,
519,Pidove,big pecks,super luck,rivalry,Tiny Pigeon Pokémon,0.3,2.1,255,3840,"1,059,860 ",Medium Slow,70,1 Attack Point(s),79,normal,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,,Flying,50,55,50,36,30,43,flying,,,,,,,,
604,Eelektross,levitate,,,EleFish Pokémon,2.1,80.5,30,5120,"1,250,000 ",Slow,70,3 Attack Point(s),0,electric,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,,Amorphous,85,115,80,105,80,50,,,,,,,,,
080,Slowbro,oblivious,own tempo,regenerator,Hermit Crab Pokémon,1.6,78.5,75,5120,"1,000,000 ",Medium Fast,70,144,37,water,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,Water 1,Monster,95,75,110,100,80,30,psychic,,,,,,,,
171,Lanturn,volt absorb,illuminate,water absorb,Light Pokémon,1.2,22.5,75,5120,"1,250,000 ",Slow,70,11,27,water,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,,Water 2,125,58,58,76,76,67,electric,,,,,,,,
641,Tornadus,prankster,defiant (hidden) (incarnate forme),,Cyclone Pokémon,1.5,63.0,3,30720,"1,250,000 ",Slow,90,Incarnate Forme3 Attack Point(s)Therian Forme3 Speed Point(s),128,flying,1,1,1,2,0.5,2,0.5,1,0,1,1,0.5,2,1,1,1,1,,,79,115,70,125,80,111,,,regenerator (therian forme),,,,,,
641.1,Tornadus_therian,prankster,defiant (hidden) (incarnate forme),,Cyclone Pokémon,1.5,63.0,3,30720,"1,250,000 ",Slow,90,Incarnate Forme3 Attack Point(s)Therian Forme3 Speed Point(s),128,flying,1,1,1,2,0.5,2,0.5,1,0,1,1,0.5,2,1,1,1,1,,,79,100,80,110,90,121,,,regenerator (therian forme),,,,,,
290,Nincada,compoundeyes,,run away,Trainee Pokémon,0.5,5.5,255,3840,"600,000 ",Erratic,70,50,10,bug,1,2,2,0,1,2,0.5,0.5,0.5,2,1,1,1,1,1,1,1,,Bug,31,45,90,30,30,40,ground,,,,,,,,
449,Hippopotas,sand stream,,sand force,Hippo Pokémon,0.8,49.5,140,7680,"1,250,000 ",Slow,70,159,10,ground,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,,Field,68,72,78,38,42,32,,,,,,,,,
084,Doduo,run away,early bird,tangled feet,Twin Bird Pokémon,1.4,39.2,190,5120,"1,000,000 ",Medium Fast,70,77,10,normal,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,,Flying,35,85,45,35,35,75,flying,,,,,,,,
511,Pansage,gluttony,,overgrow,Grass Monkey Pokémon,0.6,10.5,190,5120,"1,000,000 ",Medium Fast,70,1 Speed Point(s),65,grass,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Occa Berry - 5%,Field,50,53,48,53,48,64,,,,,,,,,
055,Golduck,damp,cloud nine,swift swim,Duck Pokémon,1.7,76.6,75,5120,"1,000,000 ",Medium Fast,70,33,33,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,Field,80,82,78,95,80,85,,,,,,,,,
495,Snivy,overgrow,,contrary,Grass Snake Pokémon,0.6,8.1,45,5120,"1,059,860 ",Medium Slow,70,1 Speed Point(s),126,grass,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Grass,Field,45,45,55,45,55,63,,,,,,,,,
543,Venipede,poison point,swarm,quick feet,Centipede Pokémon,0.4,5.3,255,3840,"1,059,860 ",Medium Slow,70,1 Defense Point(s),95,bug,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,Poison Barb - 5%,Bug,30,45,59,30,39,57,poison,,,,,,,,
358,Chimecho,levitate,,,Wind Chime Pokémon,0.6,1.0,45,6400,"800,000 ",Fast,70,0,10,psychic,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,Amorphous,65,50,70,95,80,65,,,,,,,,,
541,Swadloon,leaf guard,chlorophyll,overcoat,Leaf-Wrapped Pokémon,0.5,7.3,120,3840,"1,059,860 ",Medium Slow,70,2 Defense Point(s),142,bug,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,,Bug,55,63,90,50,80,42,grass,,,,,,,,
011,Metapod,shed skin,,,Cocoon Pokémon,0.7,9.9,120,3840,"1,000,000 ",Medium Fast,70,61,10,bug,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,,Bug,50,20,55,25,25,30,,,,,,,,,
146,Moltres,pressure,,flame body,Flame Pokémon,2.0,60.0,3,20480,"1,250,000 ",Slow,35,49,50,fire,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,,,90,100,90,125,85,90,flying,,,,,,,,
295,Exploud,soundproof,,scrappy,Loud Noise Pokémon,1.5,84.0,45,5120,"1,059,860 ",Medium Slow,70,113,40,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Monster,Field,104,91,63,91,63,68,,,,,,,,,
361,Snorunt,inner focus,ice body,moody,Snow Hat Pokémon,0.7,16.8,190,5120,"1,000,000 ",Medium Fast,70,141,10,ice,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,Mineral,Fairy,50,50,50,50,50,50,,,,,,,,,
351,Castform,forecast,,,Weather Pokémon,0.3,0.8,45,6400,"1,000,000 ",Medium Fast,70,0,10,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Amorphous,Fairy,70,70,70,70,70,70,,,,,,,,,
400,Bibarel,simple,unaware,moody,Beaver Pokémon,1.0,31.5,127,3840,"1,000,000 ",Medium Fast,70,141,15,normal,1,0.5,0.5,2,2,0.5,2,1,1,1,1,1,1,0,1,1,0.5,Sitrus Berry - 5%,Field,79,85,60,55,60,71,water,Water 1,,,,,,,
516,Simipour,gluttony,,torrent,Geyser Pokémon,1.0,29.0,75,5120,"1,000,000 ",Medium Fast,70,2 Speed Point(s),67,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Rindo Berry - 5%,Field,75,98,63,98,63,101,,,,,,,,,
648,Meloetta,serene grace,,,Melody Pokémon,0.6,6.5,3,30720,"1,250,000 ",Slow,100,Aria Forme1 Speed Point(s)1 Sp. Attack Point(s)1 Sp. Defense Point(s)Pirouette Forme1 Attack Point(s)1 Defense Point(s)1 Speed Point(s),0,normal,1,1,1,1,1,1,2,1,1,2,2,0.5,0.5,0,1,0.5,1,,,100,77,77,128,128,90,psychic,,,,,,,,
648.1,Meloetta_pirouette,serene grace,,,Melody Pokémon,0.6,6.5,3,30720,"1,250,000 ",Slow,100,Aria Forme1 Speed Point(s)1 Sp. Attack Point(s)1 Sp. Defense Point(s)Pirouette Forme1 Attack Point(s)1 Defense Point(s)1 Speed Point(s),0,normal,1,1,1,1,1,1,2,1,1,2,2,0.5,0.5,0,1,0.5,1,,,100,128,90,77,77,128,fight,,,,,,,,
471,Glaceon,snow cloak,,ice body,Fresh Snow Pokémon,0.8,25.9,45,8960,"1,000,000 ",Medium Fast,35,115,10,ice,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,,Field,65,60,110,130,95,65,,,,,,,,,
052,Meowth,pickup,technician,unnerve,Scratch Cat Pokémon,0.4,4.2,255,5120,"1,000,000 ",Medium Fast,70,127,10,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Field,40,45,35,40,40,90,,,,,,,,,
369,Relicanth,swift swim,rock head,sturdy,Longevity Pokémon,1.0,23.4,25,10240,"1,250,000 ",Slow,70,5,10,water,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,Water 1,Water 2,100,90,130,45,65,55,rock,,,,,,,,
007,Squirtle,torrent,,rain dish,Tiny Turtle Pokémon,0.5,9.0,45,5120,"1,059,860 ",Medium Slow,70,44,10,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,Monster,44,48,65,50,64,43,,,,,,,,,
028,Sandslash,sand veil,,sand rush,Mouse Pokémon,1.0,29.5,90,5120,"1,000,000 ",Medium Fast,70,146,22,ground,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,,Field,75,100,110,45,55,65,,,,,,,,,
238,Smoochum,oblivious,forewarn,hydration,Kiss Pokémon,0.4,6.0,45,6400,"1,000,000 ",Medium Fast,70,93,10,ice,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,,,45,30,15,85,65,65,psychic,,,,,,,,
461,Weavile,pressure,,pickpocket,Sharp Claw Pokémon,1.1,34.0,45,5120,"1,059,860 ",Medium Slow,35,124,10,dark,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,Quick Claw - 5%,Field,70,120,65,45,85,125,ice,,,,,,,,
596,Galvantula,compoundeyes,unnerve,swarm,EleSpider Pokémon,0.8,14.3,75,5120,"1,000,000 ",Medium Fast,70,2 Speed Point(s),68,bug,1,2,1,0.5,0.5,1,0.5,1,1,1,1,1,2,1,1,1,0.5,,Bug,70,77,60,97,60,108,electric,,,,,,,,
406,Budew,natural cure,poison point,leaf guard,Bud Pokémon,0.2,1.2,255,5120,"1,059,860 ",Medium Slow,70,102,10,grass,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,,,40,30,35,50,70,55,poison,,,,,,,,
509,Purrloin,limber,unburden,prankster,Devious Pokémon,0.4,10.1,255,5120,"1,000,000 ",Medium Fast,70,1 Speed Point(s),158,dark,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,,Field,41,50,37,50,37,66,,,,,,,,,
267,Beautifly,swarm,,rivalry,Butterfly Pokémon,1.0,28.4,45,3840,"1,000,000 ",Medium Fast,70,79,10,bug,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,,Bug,60,70,50,90,50,65,flying,,,,,,,,
390,Chimchar,blaze,,iron fist,Chimp Pokémon,0.5,6.2,45,5120,"1,059,860 ",Medium Slow,70,89,10,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Field,Human-like,44,58,44,58,44,61,,,,,,,,,
192,Sunflora,chlorophyll,solar power,early bird,Sun Pokémon,0.8,8.5,120,5120,"1,059,860 ",Medium Slow,70,48,10,grass,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,,Grass,75,75,55,105,85,30,,,,,,,,,
555,Darmanitan,sheer force,,zen mode,Blazing Pokémon,1.3,92.9,60,5120,"1,059,860 ",Medium Slow,70,Standard2 Attack Point(s)Zen Mode2 Sp. Attack Point(s),161,fire,1,0.5,2,1,0.5,0.5,0.5,1,2,1,0.5,1,2,2,1,2,0.5,,Field,105,140,55,30,55,95,fire,,,,,,,,
555.1,Darmanitan_zen,sheer force,,zen mode,Blazing Pokémon,1.3,92.9,60,5120,"1,059,860 ",Medium Slow,70,Standard2 Attack Point(s)Zen Mode2 Sp. Attack Point(s),161,fire,1,0.5,2,1,0.5,0.5,0.5,1,2,1,0.5,1,2,2,1,2,0.5,,Field,105,30,105,140,105,55,psychic,,,,,,,,
572,Minccino,cute charm,technician,skill link,Chinchilla Pokémon,0.4,5.8,255,3840,"800,000 ",Fast,70,1 Speed Point(s),92,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Field,55,50,40,40,40,75,,,,,,,,,
076,Golem,rock head,sturdy,sand veil,Megaton Pokémon,1.4,300.0,45,3840,"1,059,860 ",Medium Slow,70,8,25,rock,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,,Mineral,80,110,130,55,65,45,ground,,,,,,,,
157,Typhlosion,blaze,,flash fire,Volcano Pokémon,1.7,79.5,45,5120,"1,059,860 ",Medium Slow,70,18,36,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Field,78,84,78,109,85,100,,,,,,,,,
253,Grovyle,overgrow,,unburden,Wood Gecko Pokémon,0.9,21.6,45,5120,"1,059,860 ",Medium Slow,70,84,16,grass,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Monster,Dragon,50,65,45,85,65,95,,,,,,,,,
145,Zapdos,pressure,,lightningrod,Electric Pokémon,1.6,52.6,3,20480,"1,250,000 ",Slow,35,31,50,electric,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,,,90,90,85,125,90,100,flying,,,,,,,,
311,Plusle,plus,,,Cheering Pokémon,0.4,4.2,200,5120,"1,000,000 ",Medium Fast,70,0,10,electric,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,,Fairy,60,50,40,85,75,95,,,,,,,,,
458,Mantyke,swift swim,water absorb,water veil,Kite Pokémon,1.0,65.0,25,6400,"1,250,000 ",Slow,70,41,10,water,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,,,45,20,50,60,120,50,flying,,,,,,,,
480,Uxie,levitate,,,Knowledge Pokémon,0.3,0.3,3,20480,"1,250,000 ",Slow,140,0,50,psychic,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,,75,75,130,75,130,95,,,,,,,,,
553,Krookodile,intimidate,moxie,anger point,Intimidation Pokémon,1.5,96.3,45,5120,"1,059,860 ",Medium Slow,70,3 Attack Point(s),83,ground,1,1,2,0,2,2,2,0.5,1,1,0,2,0.5,0.5,1,0.5,1,,Field,95,117,70,65,70,92,dark,,,,,,,,
246,Larvitar,guts,,sand veil,Rock Skin Pokémon,0.6,72.0,45,10240,"1,250,000 ",Slow,35,8,10,rock,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,,Monster,50,64,50,45,50,41,ground,,,,,,,,
373,Salamence,intimidate,,moxie,Dragon Pokémon,1.5,102.6,45,10240,"1,250,000 ",Slow,35,153,50,dragon,1,0.5,0.5,1,0.25,4,0.5,1,0,1,1,0.5,2,1,2,1,1,,Dragon,95,135,80,110,80,100,flying,,,,,,,,
037,Vulpix,flash fire,,drought,Fox Pokémon,0.6,9.9,190,5120,"1,000,000 ",Medium Fast,70,70,10,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Field,38,41,40,50,65,65,,,,,,,,,
454,Toxicroak,anticipation,dry skin,poison touch,Toxic Mouth Pokémon,1.3,44.4,75,5120,"1,000,000 ",Medium Fast,70,143,37,poison,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,,Human-like,83,106,65,86,65,85,fighting,,,,,,,,
234,Stantler,intimidate,frisk,sap sipper,Big Horn Pokémon,1.4,71.2,45,5120,"1,250,000 ",Slow,70,157,10,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,Field,73,95,62,85,65,85,,,,,,,,,
319,Sharpedo,rough skin,,speed boost,Brutal Pokémon,1.8,88.8,60,5120,"1,250,000 ",Slow,35,3,30,water,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,,Water 2,70,120,40,95,40,95,dark,,,,,,,,
416,Vespiquen,pressure,,unnerve,Beehive Pokémon,1.2,38.5,45,3840,"1,059,860 ",Medium Slow,70,127,21,bug,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,,Bug,70,80,102,80,102,40,flying,,,,,,,,
155,Cyndaquil,blaze,,flash fire,Fire Mouse Pokémon,0.5,7.9,45,5120,"1,059,860 ",Medium Slow,70,18,10,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,,Field,39,52,43,60,50,65,,,,,,,,,
633,Deino,hustle,,,Irate Pokémon,0.8,17.3,45,10240,"1,250,000 ",Slow,35,1 Attack Point(s),0,dark,1,0.5,0.5,0.5,0.5,2,2,1,1,1,0,2,1,0.5,2,0.5,1,,Dragon,52,65,50,45,50,38,dragon,,,,,,,,
280,Ralts,synchronize,trace,telepathy,Feeling Pokémon,0.4,6.6,235,5120,"1,250,000 ",Slow,35,140,10,psychic,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,Amorphous,28,25,25,45,35,40,,,,,,,,,
